student_id,name,university,faculty,year_of_study,average_mark,attendance,failed_modules,missed_assignments
NSFAS002797,Lindiwe Zulu,North-West University,Commerce,3,41.86,38.0,2,2
NSFAS002798,Lerato Molefe,University of KwaZulu-Natal,Engineering,1,50.11,63.0,0,5
NSFAS002799,Sibusiso Mahlangu,University of Johannesburg,Commerce,2,40.0,37.0,3,4
NSFAS002800,Nomsa Mthembu,University of Pretoria,Education,1,69.36,56.0,2,3
NSFAS002801,Thabo Mokoena,University of the Free State,Education,2,50.38,67.0,0,0
NSFAS002802,Tshepo Mahlangu,University of KwaZulu-Natal,Science,2,40.0,28.0,3,5
NSFAS002803,Thabo Mthethwa,North-West University,Arts,1,40.0,,3,5
NSFAS002804,Mpho Dlamini,University of Cape Town,Commerce,4,75.0,87.0,0,2
NSFAS002805,Busisiwe Mthethwa,University of Cape Town,Engineering,2,75.0,85.0,1,3
NSFAS002806,Andile Mthembu,University of Stellenbosch,Engineering,4,40.0,49.0,4,5
NSFAS002807,Lindiwe Mthembu,University of Cape Town,Arts,4,40.0,58.0,4,4
NSFAS002808,Lerato Khumalo,University of Pretoria,Arts,3,95.0,95.0,0,4
NSFAS002809,Lerato Mkhize,University of Johannesburg,Education,3,40.0,63.0,1,1
NSFAS002810,Nokuthula Khumalo,University of Cape Town,Arts,1,51.74,85.0,0,3
NSFAS002811,Thabo Mthethwa,University of Cape Town,Law,4,40.0,50.0,1,1
NSFAS002812,Thabo Molefe,University of the Witwatersrand,Education,1,75.0,94.0,0,0
NSFAS002813,Zanele Mkhize,University of Johannesburg,Education,4,93.35,87.0,0,1
NSFAS002814,Kagiso Mhlongo,University of Cape Town,Commerce,1,40.0,61.0,3,5
NSFAS002815,Phumzile Ngcobo,University of KwaZulu-Natal,Science,1,67.88,73.0,0,3
NSFAS002816,Kagiso Mkhize,University of Johannesburg,Commerce,2,51.8,79.0,1,0
NSFAS002817,Mpho Mahlangu,University of Stellenbosch,Commerce,2,75.0,95.0,0,1
NSFAS002818,Sipho Mthethwa,University of Stellenbosch,Commerce,1,40.0,50.0,2,0
NSFAS002819,Andile Nkosi,University of the Witwatersrand,Education,1,43.12,49.0,2,0
NSFAS002820,Phumzile Ngcobo,University of Pretoria,Law,4,39.48,24.0,1,0
NSFAS002821,Nomsa Khumalo,University of Johannesburg,Arts,2,42.53,50.0,3,5
NSFAS002822,Zanele Mkhize,University of Stellenbosch,Law,3,40.0,62.0,2,1
NSFAS002823,Andile Mokoena,University of Stellenbosch,Commerce,2,66.56,65.0,1,5
NSFAS002824,Phumzile Mkhize,University of the Witwatersrand,Law,4,40.0,31.0,1,1
NSFAS002825,Mpho Mokoena,University of the Free State,Science,1,49.17,35.0,3,4
NSFAS002826,Sipho Zulu,University of the Witwatersrand,Science,1,30.0,47.0,2,1
NSFAS002827,Tshepo Mkhize,University of the Witwatersrand,Education,2,63.23,63.0,1,5
NSFAS002828,Lerato Nkosi,University of KwaZulu-Natal,Commerce,4,40.0,20.0,2,4
NSFAS002829,Zanele Mahlangu,University of Cape Town,Engineering,2,66.77,70.0,1,4
NSFAS002830,Thabo Molefe,University of Cape Town,Arts,1,57.28,81.0,0,1
NSFAS002831,Andile Zulu,North-West University,Engineering,3,67.29,62.0,0,3
NSFAS002832,Kagiso Mabaso,University of Johannesburg,Science,1,40.0,40.0,4,1
NSFAS002833,Thabo Mthembu,University of the Free State,Commerce,2,40.99,26.0,2,0
NSFAS002834,Busisiwe Mhlongo,University of the Witwatersrand,Science,1,73.85,90.0,1,3
NSFAS002835,Andile Mahlangu,North-West University,Education,1,40.0,50.0,2,0
NSFAS002836,Sipho Ngcobo,University of Johannesburg,Commerce,3,30.0,35.0,1,0
NSFAS002837,Nomsa Molefe,University of Cape Town,Science,3,75.0,76.0,1,5
NSFAS002838,Lerato Mkhize,University of Pretoria,Science,1,40.0,38.0,3,5
NSFAS002839,Kagiso Mokoena,University of the Free State,Law,4,40.0,55.0,1,1
NSFAS002840,Tshepo Mabaso,University of the Witwatersrand,Commerce,3,57.02,64.0,1,4
NSFAS002841,Sibusiso Nkosi,University of Pretoria,Education,1,57.85,82.0,1,5
NSFAS002842,Nokuthula Nkosi,North-West University,Arts,3,52.15,65.0,1,2
NSFAS002843,Nokuthula Mkhize,North-West University,Law,1,65.15,83.0,1,2
NSFAS002844,Busisiwe Nkosi,University of KwaZulu-Natal,Commerce,4,75.0,83.0,0,0
NSFAS002845,Zanele Ngcobo,University of Pretoria,Science,3,59.95,70.0,0,5
NSFAS002846,Zanele Mokoena,University of the Witwatersrand,Education,4,42.53,53.0,1,3
NSFAS002847,Sibusiso Mkhize,University of KwaZulu-Natal,Law,2,75.0,84.0,1,1
NSFAS002848,Busisiwe Khumalo,University of the Free State,Science,3,75.0,90.0,0,0
NSFAS002849,Mpho Mthethwa,North-West University,Commerce,4,30.0,55.0,1,5
NSFAS002850,Busisiwe Zulu,University of Cape Town,Law,1,75.0,79.0,1,0
NSFAS002851,Zanele Mthembu,University of Cape Town,Education,2,30.0,23.0,4,3
NSFAS002852,Phumzile Zulu,University of Cape Town,Education,4,67.89,80.0,0,4
NSFAS002853,Themba Mhlongo,University of KwaZulu-Natal,Engineering,4,72.09,75.0,0,4
NSFAS002854,Sipho Khumalo,University of Johannesburg,Commerce,2,75.0,84.0,0,2
NSFAS002855,Thabo Mthethwa,University of the Witwatersrand,Education,1,40.0,59.0,1,0
NSFAS002856,Lindiwe Mhlongo,University of the Witwatersrand,Education,4,43.36,31.0,4,1
NSFAS002857,Mpho Mthethwa,University of KwaZulu-Natal,Education,2,52.37,77.0,0,4
NSFAS002858,Sipho Mthethwa,University of Johannesburg,Education,3,30.0,30.0,4,4
NSFAS002859,Thabo Nkosi,University of Johannesburg,Commerce,1,48.87,31.0,3,2
NSFAS002860,Nokuthula Mahlangu,University of the Free State,Arts,2,75.0,95.0,0,3
NSFAS002861,Mpho Mabaso,University of Johannesburg,Law,3,40.0,58.0,4,4
NSFAS002862,Thabo Mkhize,University of Pretoria,Engineering,2,40.0,31.0,1,4
NSFAS002863,Andile Khumalo,University of Johannesburg,Education,4,30.0,59.0,4,0
NSFAS002864,Themba Mokoena,University of the Free State,Arts,1,40.0,21.0,4,3
NSFAS002865,Lerato Mthethwa,University of the Free State,Engineering,3,75.0,78.0,1,2
NSFAS002866,Kagiso Mhlongo,University of the Witwatersrand,Law,1,57.68,74.0,1,1
NSFAS002867,Thabo Mabaso,North-West University,Commerce,3,30.0,41.0,1,4
NSFAS002868,Tshepo Mhlongo,University of KwaZulu-Natal,Arts,3,40.0,50.0,3,3
NSFAS002869,Thabo Mhlongo,University of Pretoria,Engineering,1,75.0,86.0,1,0
NSFAS002870,Andile Mthembu,University of the Witwatersrand,Arts,3,40.0,22.0,4,1
NSFAS002871,Sipho Mahlangu,University of KwaZulu-Natal,Commerce,1,40.0,31.0,1,3
NSFAS002872,Mpho Khumalo,University of the Witwatersrand,Law,2,40.0,45.0,4,4
NSFAS002873,Themba Mahlangu,University of Cape Town,Commerce,2,84.68,95.0,1,4
NSFAS002874,Busisiwe Mokoena,University of Pretoria,Engineering,3,75.0,81.0,1,4
NSFAS002875,Zanele Nkosi,University of Johannesburg,Engineering,3,40.0,39.0,4,1
NSFAS002876,Andile Mkhize,University of KwaZulu-Natal,Education,1,73.78,92.0,1,5
NSFAS002877,Thabo Mkhize,University of Pretoria,Education,2,50.28,76.0,0,3
NSFAS002878,Andile Mkhize,University of Cape Town,Education,1,40.0,38.0,3,0
NSFAS002879,Tshepo Mkhize,University of the Witwatersrand,Science,4,47.69,21.0,1,1
NSFAS002880,Zanele Mthembu,University of Stellenbosch,Commerce,2,95.0,91.0,1,4
NSFAS002881,Lerato Mthembu,North-West University,Law,1,40.0,30.0,4,1
NSFAS002882,Sipho Molefe,University of Cape Town,Engineering,1,75.0,88.0,0,0
NSFAS002883,Phumzile Mkhize,University of the Witwatersrand,Commerce,2,30.0,48.0,1,2
NSFAS002884,Sibusiso Nkosi,University of the Witwatersrand,Education,3,75.0,95.0,1,3
NSFAS002885,Mpho Nkosi,University of KwaZulu-Natal,Education,3,30.0,33.0,1,5
NSFAS002886,Kagiso Mabaso,University of Pretoria,Law,3,70.93,95.0,1,0
NSFAS002887,Andile Zulu,University of Johannesburg,Education,2,30.0,55.0,1,0
NSFAS002888,Sipho Mthethwa,University of the Free State,Commerce,1,75.0,91.0,1,3
NSFAS002889,Mpho Mthethwa,University of the Witwatersrand,Engineering,2,45.89,64.0,1,3
NSFAS002890,Tshepo Mahlangu,University of the Free State,Law,3,57.94,85.0,1,0
NSFAS002891,Sipho Ngcobo,North-West University,Education,2,70.18,75.0,0,3
NSFAS002892,Andile Mabaso,North-West University,Education,4,40.0,24.0,4,3
NSFAS002893,Kagiso Khumalo,University of the Witwatersrand,Law,2,40.0,52.0,2,1
NSFAS002894,Themba Dlamini,North-West University,Law,1,47.95,28.0,2,1
NSFAS002895,Mpho Mthethwa,University of Stellenbosch,Engineering,1,75.0,95.0,1,1
NSFAS002896,Nokuthula Mabaso,North-West University,Engineering,3,64.97,74.0,0,4
NSFAS002897,Sipho Zulu,University of Johannesburg,Law,1,44.01,27.0,2,1
NSFAS002898,Nomsa Mabaso,University of Cape Town,Commerce,4,75.0,88.0,1,0
NSFAS002899,Sibusiso Molefe,North-West University,Arts,4,74.59,79.0,0,0
NSFAS002900,Andile Khumalo,University of Johannesburg,Engineering,2,40.0,46.0,3,3
NSFAS002901,Tshepo Mkhize,University of the Witwatersrand,Commerce,4,75.0,92.0,1,0
NSFAS002902,Zanele Mahlangu,University of Stellenbosch,Commerce,2,56.8,69.0,1,0
NSFAS002903,Lerato Mahlangu,University of Stellenbosch,Arts,4,53.99,64.0,0,3
NSFAS002904,Nomsa Dlamini,North-West University,Education,2,40.0,49.0,4,2
NSFAS002905,Thabo Khumalo,University of the Witwatersrand,Law,4,63.63,78.0,0,5
NSFAS002906,Lindiwe Mhlongo,University of KwaZulu-Natal,Engineering,2,69.71,55.0,3,3
NSFAS002907,Andile Mabaso,University of Johannesburg,Science,1,64.09,56.0,2,5
NSFAS002908,Lindiwe Zulu,North-West University,Commerce,2,49.45,25.0,4,4
NSFAS002909,Kagiso Mabaso,University of the Witwatersrand,Arts,3,60.84,78.0,1,1
NSFAS002910,Kagiso Mthembu,University of the Free State,Science,4,40.0,59.0,4,4
NSFAS002911,Themba Mahlangu,University of Stellenbosch,Education,1,75.0,83.0,1,3
NSFAS002912,Sipho Mokoena,University of Johannesburg,Science,3,30.0,65.0,1,1
NSFAS002913,Phumzile Ngcobo,University of the Free State,Commerce,3,49.0,54.0,3,2
NSFAS002914,Nokuthula Khumalo,University of Pretoria,Commerce,2,49.04,53.0,2,4
NSFAS002915,Phumzile Mkhize,University of Johannesburg,Arts,3,40.0,46.0,3,1
NSFAS002916,Andile Mthethwa,University of the Free State,Science,1,80.51,80.0,0,5
NSFAS002917,Themba Mabaso,University of Cape Town,Law,4,75.0,76.0,1,3
NSFAS002918,Lindiwe Mabaso,University of Stellenbosch,Law,4,75.0,81.0,0,5
NSFAS002919,Sibusiso Mkhize,University of the Free State,Engineering,2,49.0,20.0,1,3
NSFAS002920,Sipho Molefe,University of the Free State,Commerce,1,61.87,55.0,2,1
NSFAS002921,Tshepo Mthembu,University of Pretoria,Law,1,73.23,95.0,1,1
NSFAS002922,Busisiwe Mahlangu,North-West University,Arts,2,40.0,32.0,1,0
NSFAS002923,Phumzile Nkosi,University of Cape Town,Commerce,1,48.24,34.0,4,4
NSFAS002924,Tshepo Zulu,University of Johannesburg,Arts,2,40.0,48.0,2,4
NSFAS002925,Lerato Mabaso,University of KwaZulu-Natal,Commerce,2,40.0,63.0,1,0
NSFAS002926,Sipho Mkhize,University of Pretoria,Science,1,74.44,95.0,1,5
NSFAS002927,Sibusiso Mkhize,University of Stellenbosch,Law,4,75.0,81.0,0,3
NSFAS002928,Themba Dlamini,University of the Witwatersrand,Law,2,40.0,42.0,4,4
NSFAS002929,Sibusiso Khumalo,University of KwaZulu-Natal,Engineering,3,50.59,74.0,1,0
NSFAS002930,Kagiso Zulu,University of Stellenbosch,Commerce,2,40.0,33.0,2,4
NSFAS002931,Zanele Mthethwa,University of Cape Town,Commerce,1,58.76,79.0,0,3
NSFAS002932,Tshepo Mthembu,North-West University,Arts,4,75.0,89.0,0,4
NSFAS002933,Lerato Zulu,University of the Free State,Arts,4,75.0,94.0,1,3
NSFAS002934,Lerato Mthethwa,University of Pretoria,Commerce,2,51.78,81.0,1,5
NSFAS002935,Nomsa Nkosi,University of Cape Town,Commerce,2,40.5,36.0,4,5
NSFAS002936,Nokuthula Dlamini,University of the Witwatersrand,Law,3,75.0,89.0,1,0
NSFAS002937,Busisiwe Mthethwa,University of KwaZulu-Natal,Science,1,75.0,83.0,0,5
NSFAS002938,Andile Zulu,University of Pretoria,Education,1,65.18,62.0,0,1
NSFAS002939,Tshepo Ngcobo,University of Stellenbosch,Law,1,75.0,94.0,0,2
NSFAS002940,Lindiwe Nkosi,University of Pretoria,Engineering,4,40.0,37.0,4,4
NSFAS002941,Phumzile Mokoena,North-West University,Commerce,3,40.0,57.0,2,2
NSFAS002942,Sibusiso Molefe,University of the Free State,Education,2,40.0,50.0,3,3
NSFAS002943,Tshepo Nkosi,University of the Witwatersrand,Law,2,49.0,60.0,1,5
NSFAS002944,Sipho Mthethwa,University of the Free State,Engineering,4,40.0,27.0,4,1
NSFAS002945,Zanele Ngcobo,University of Cape Town,Engineering,2,38.44,21.0,1,2
NSFAS002946,Lerato Mthethwa,University of Stellenbosch,Science,1,40.0,61.0,4,0
NSFAS002947,Kagiso Mahlangu,University of Stellenbosch,Engineering,2,50.68,63.0,0,5
NSFAS002948,Nokuthula Zulu,University of Cape Town,Arts,2,42.69,21.0,1,5
NSFAS002949,Busisiwe Mahlangu,University of KwaZulu-Natal,Commerce,1,40.0,29.0,2,5
NSFAS002950,Kagiso Mthembu,University of KwaZulu-Natal,Engineering,2,40.0,61.0,4,3
NSFAS002951,Kagiso Zulu,University of Cape Town,Commerce,3,75.0,80.0,0,3
NSFAS002952,Nokuthula Nkosi,North-West University,Arts,2,40.0,52.0,3,1
NSFAS002953,Thabo Khumalo,University of KwaZulu-Natal,Education,3,40.0,50.0,3,3
NSFAS002954,Lerato Nkosi,University of KwaZulu-Natal,Science,3,75.0,85.0,0,2
NSFAS002955,Thabo Molefe,University of KwaZulu-Natal,Arts,4,57.7,57.0,2,3
NSFAS002956,Lerato Mthembu,University of Johannesburg,Law,3,44.66,37.0,1,5
NSFAS002957,Mpho Mahlangu,University of KwaZulu-Natal,Education,2,75.0,82.0,0,2
NSFAS002958,Lindiwe Ngcobo,University of KwaZulu-Natal,Law,2,54.62,66.0,0,5
NSFAS002959,Nokuthula Mkhize,University of the Free State,Education,3,75.0,76.0,1,4
NSFAS002960,Themba Mhlongo,University of Pretoria,Arts,4,61.69,63.0,0,1
NSFAS002961,Nomsa Khumalo,University of Johannesburg,Arts,2,68.19,73.0,1,2
NSFAS002962,Sipho Ngcobo,University of KwaZulu-Natal,Education,1,42.72,28.0,2,3
NSFAS002963,Themba Mabaso,University of KwaZulu-Natal,Arts,3,57.16,71.0,0,5
NSFAS002964,Sibusiso Khumalo,University of Stellenbosch,Education,2,51.95,81.0,1,1
NSFAS002965,Thabo Mokoena,University of Johannesburg,Commerce,1,40.0,39.0,3,2
NSFAS002966,Sibusiso Mabaso,University of Cape Town,Law,1,75.0,77.0,0,3
NSFAS002967,Busisiwe Ngcobo,University of KwaZulu-Natal,Law,1,41.56,57.0,2,5
NSFAS002968,Lindiwe Mahlangu,North-West University,Law,1,45.66,47.0,4,1
NSFAS002969,Zanele Nkosi,North-West University,Arts,1,73.61,86.0,1,3
NSFAS002970,Lerato Mokoena,University of the Free State,Education,2,75.0,95.0,0,5
NSFAS002971,Zanele Mabaso,University of Stellenbosch,Education,2,40.0,21.0,3,2
NSFAS002972,Thabo Nkosi,North-West University,Commerce,3,52.46,,1,2
NSFAS002973,Busisiwe Mthethwa,University of KwaZulu-Natal,Arts,3,75.0,75.0,1,0
NSFAS002974,Themba Ngcobo,North-West University,Engineering,3,58.45,62.0,0,2
NSFAS002975,Sipho Ngcobo,University of Cape Town,Arts,3,40.82,34.0,2,4
NSFAS002976,Themba Molefe,University of KwaZulu-Natal,Commerce,1,54.14,81.0,1,1
NSFAS002977,Thabo Molefe,North-West University,Arts,3,40.0,54.0,1,5
NSFAS002978,Tshepo Mokoena,North-West University,Science,1,95.0,,0,2
NSFAS002979,Mpho Mhlongo,University of Cape Town,Arts,2,44.6,54.0,4,1
NSFAS002980,Tshepo Molefe,University of the Free State,Education,3,30.0,55.0,1,1
NSFAS002981,Kagiso Dlamini,University of the Witwatersrand,Commerce,3,71.16,95.0,1,4
NSFAS002982,Busisiwe Nkosi,University of KwaZulu-Natal,Law,3,40.0,58.0,1,0
NSFAS002983,Tshepo Mthethwa,University of the Witwatersrand,Arts,2,49.0,63.0,1,0
NSFAS002984,Zanele Mokoena,University of Cape Town,Law,3,34.61,35.0,2,1
NSFAS002985,Andile Mabaso,University of the Free State,Education,4,40.0,56.0,3,0
NSFAS002986,Nokuthula Mabaso,University of Johannesburg,Arts,4,30.0,61.0,4,1
NSFAS002987,Sibusiso Dlamini,University of Pretoria,Engineering,2,50.7,55.0,4,5
NSFAS002988,Thabo Mabaso,University of the Witwatersrand,Commerce,1,75.0,78.0,0,3
NSFAS002989,Lerato Nkosi,North-West University,Commerce,4,75.0,79.0,1,1
NSFAS002990,Themba Zulu,University of KwaZulu-Natal,Commerce,1,40.0,29.0,2,4
NSFAS002991,Phumzile Mokoena,University of KwaZulu-Natal,Engineering,2,40.0,60.0,2,5
NSFAS002992,Lerato Molefe,University of Pretoria,Engineering,1,75.0,79.0,1,3
NSFAS002993,Thabo Mokoena,University of Cape Town,Commerce,3,49.0,25.0,1,0
NSFAS002994,Lindiwe Zulu,University of Stellenbosch,Commerce,4,40.0,29.0,4,1
NSFAS002995,Andile Mabaso,North-West University,Science,3,40.0,,2,4
NSFAS002996,Lerato Mthembu,North-West University,Law,4,71.36,95.0,0,4
NSFAS002997,Sibusiso Mkhize,University of the Free State,Commerce,2,75.0,76.0,1,4
NSFAS002998,Nomsa Mabaso,University of Cape Town,Science,1,58.64,66.0,1,1
NSFAS002999,Andile Mkhize,University of the Witwatersrand,Education,1,40.0,54.0,2,5
NSFAS003000,Themba Mahlangu,University of KwaZulu-Natal,Arts,4,42.54,48.0,2,3
NSFAS003001,Zanele Nkosi,University of KwaZulu-Natal,Arts,2,40.0,34.0,1,4
NSFAS003002,Andile Mokoena,University of Stellenbosch,Education,1,75.0,83.0,0,4
NSFAS003003,Zanele Mkhize,University of Pretoria,Engineering,3,57.86,73.0,0,4
NSFAS003004,Tshepo Ngcobo,North-West University,Science,3,75.0,88.0,1,0
NSFAS003005,Tshepo Mhlongo,University of Stellenbosch,Engineering,1,69.91,55.0,3,2
NSFAS003006,Nomsa Zulu,University of Cape Town,Engineering,2,95.0,95.0,0,1
NSFAS003007,Themba Mthembu,University of the Free State,Engineering,2,30.0,36.0,3,5
NSFAS003008,Phumzile Ngcobo,University of Pretoria,Education,1,71.37,89.0,0,2
NSFAS003009,Themba Mhlongo,University of Stellenbosch,Engineering,1,40.0,63.0,2,1
NSFAS003010,Andile Nkosi,University of Cape Town,Education,4,75.0,87.0,1,0
NSFAS003011,Busisiwe Zulu,University of Stellenbosch,Arts,2,75.0,77.0,0,1
NSFAS003012,Nokuthula Mokoena,University of the Witwatersrand,Science,2,74.65,83.0,1,1
NSFAS003013,Andile Mthethwa,University of KwaZulu-Natal,Education,3,95.0,78.0,1,0
NSFAS003014,Kagiso Nkosi,University of Cape Town,Law,3,75.0,95.0,1,5
NSFAS003015,Andile Mhlongo,University of the Free State,Science,2,60.36,78.0,0,2
NSFAS003016,Zanele Mthethwa,University of Johannesburg,Engineering,2,75.0,86.0,1,3
NSFAS003017,Kagiso Mahlangu,University of the Free State,Arts,3,37.15,38.0,1,4
NSFAS003018,Busisiwe Mhlongo,University of the Free State,Science,2,53.29,67.0,0,1
NSFAS003019,Phumzile Mhlongo,University of the Witwatersrand,Education,2,51.64,59.0,2,2
NSFAS003020,Lindiwe Mthethwa,University of Pretoria,Science,2,75.0,90.0,0,5
NSFAS003021,Mpho Mabaso,University of Stellenbosch,Arts,1,75.0,80.0,0,2
NSFAS003022,Tshepo Nkosi,University of KwaZulu-Natal,Science,3,30.0,46.0,3,2
NSFAS003023,Sibusiso Mhlongo,University of Stellenbosch,Arts,1,42.07,27.0,1,4
NSFAS003024,Tshepo Khumalo,North-West University,Arts,2,75.0,90.0,0,0
NSFAS003025,Zanele Ngcobo,North-West University,Engineering,2,40.0,39.0,3,4
NSFAS003026,Tshepo Mabaso,University of Stellenbosch,Arts,3,40.0,34.0,3,0
NSFAS003027,Nokuthula Mhlongo,University of Stellenbosch,Arts,2,48.22,53.0,2,5
NSFAS003028,Nomsa Mahlangu,University of Stellenbosch,Commerce,3,50.96,60.0,0,4
NSFAS003029,Lindiwe Mabaso,University of Pretoria,Science,4,40.0,59.0,1,2
NSFAS003030,Kagiso Mahlangu,University of KwaZulu-Natal,Law,2,40.0,22.0,3,4
NSFAS003031,Themba Mhlongo,University of Cape Town,Law,2,40.0,36.0,1,2
NSFAS003032,Andile Mabaso,University of Pretoria,Commerce,4,40.0,48.0,1,4
NSFAS003033,Thabo Mthethwa,University of Pretoria,Education,1,40.0,54.0,1,4
NSFAS003034,Kagiso Ngcobo,University of the Free State,Law,3,40.0,42.0,1,1
NSFAS003035,Busisiwe Mokoena,University of Stellenbosch,Commerce,4,75.0,94.0,1,0
NSFAS003036,Andile Zulu,North-West University,Science,2,73.9,95.0,1,5
NSFAS003037,Nokuthula Mkhize,University of Pretoria,Science,2,40.0,51.0,4,3
NSFAS003038,Phumzile Mthethwa,University of the Free State,Engineering,1,40.0,45.0,1,3
NSFAS003039,Andile Mahlangu,University of KwaZulu-Natal,Science,2,40.0,30.0,2,4
NSFAS003040,Themba Mabaso,North-West University,Education,2,95.0,87.0,1,0
NSFAS003041,Andile Mahlangu,University of the Witwatersrand,Engineering,2,69.82,81.0,0,5
NSFAS003042,Themba Molefe,North-West University,Commerce,1,41.79,36.0,4,2
NSFAS003043,Andile Mabaso,University of Johannesburg,Education,1,75.0,95.0,0,5
NSFAS003044,Sibusiso Mthembu,University of Cape Town,Law,4,40.0,27.0,3,5
NSFAS003045,Sipho Mahlangu,University of Stellenbosch,Arts,4,43.3,25.0,1,4
NSFAS003046,Lerato Mahlangu,University of Stellenbosch,Education,3,40.0,46.0,1,5
NSFAS003047,Lindiwe Mhlongo,University of Johannesburg,Engineering,3,69.01,75.0,1,5
NSFAS003048,Thabo Mthethwa,North-West University,Commerce,4,40.0,62.0,4,3
NSFAS003049,Busisiwe Mokoena,University of the Witwatersrand,Science,3,59.11,70.0,1,0
NSFAS003050,Sipho Mabaso,University of Pretoria,Commerce,2,75.0,95.0,1,1
NSFAS003051,Lindiwe Ngcobo,University of KwaZulu-Natal,Commerce,1,63.04,61.0,1,2
NSFAS003052,Phumzile Mthembu,University of Stellenbosch,Law,4,48.3,51.0,2,4
NSFAS003053,Sibusiso Dlamini,University of Stellenbosch,Law,3,30.0,55.0,4,4
NSFAS003054,Lerato Khumalo,University of the Free State,Science,3,71.79,95.0,1,0
NSFAS003055,Andile Khumalo,University of the Free State,Engineering,3,30.0,57.0,1,0
NSFAS003056,Lerato Mokoena,University of KwaZulu-Natal,Law,2,30.0,32.0,1,3
NSFAS003057,Zanele Molefe,North-West University,Education,4,49.0,32.0,2,5
NSFAS003058,Lerato Mhlongo,University of Johannesburg,Law,4,40.0,58.0,1,1
NSFAS003059,Tshepo Zulu,University of the Witwatersrand,Engineering,4,72.42,87.0,1,5
NSFAS003060,Busisiwe Mthembu,University of the Witwatersrand,Education,3,75.0,95.0,1,3
NSFAS003061,Zanele Mahlangu,University of Johannesburg,Arts,1,64.28,55.0,3,5
NSFAS003062,Sipho Mthethwa,North-West University,Arts,1,60.04,69.0,0,5
NSFAS003063,Mpho Nkosi,University of Stellenbosch,Arts,3,65.77,56.0,2,4
NSFAS003064,Sibusiso Khumalo,North-West University,Arts,4,56.46,60.0,1,5
NSFAS003065,Lerato Mabaso,University of Pretoria,Engineering,3,66.61,63.0,0,3
NSFAS003066,Themba Mthethwa,University of Johannesburg,Engineering,3,68.78,70.0,0,4
NSFAS003067,Andile Mthembu,University of the Free State,Law,3,75.0,,0,3
NSFAS003068,Sibusiso Mthembu,University of Pretoria,Law,4,47.07,41.0,3,1
NSFAS003069,Lerato Molefe,University of the Witwatersrand,Engineering,3,40.0,46.0,1,2
NSFAS003070,Nomsa Zulu,University of Stellenbosch,Commerce,3,40.0,62.0,2,5
NSFAS003071,Phumzile Mabaso,University of Cape Town,Arts,1,49.0,26.0,4,4
NSFAS003072,Themba Molefe,University of Pretoria,Engineering,3,75.0,94.0,1,2
NSFAS003073,Lerato Mahlangu,North-West University,Arts,3,40.0,38.0,3,3
NSFAS003074,Mpho Mhlongo,North-West University,Engineering,4,64.87,75.0,0,3
NSFAS003075,Lindiwe Dlamini,University of the Witwatersrand,Science,1,40.0,55.0,1,4
NSFAS003076,Phumzile Khumalo,University of KwaZulu-Natal,Education,2,43.47,24.0,4,2
NSFAS003077,Mpho Dlamini,University of the Witwatersrand,Engineering,1,56.04,60.0,0,0
NSFAS003078,Sibusiso Mthethwa,University of Cape Town,Commerce,1,75.0,85.0,1,0
NSFAS003079,Nomsa Khumalo,University of Johannesburg,Law,2,57.0,71.0,1,1
NSFAS003080,Tshepo Dlamini,University of Cape Town,Arts,3,30.0,26.0,2,3
NSFAS003081,Zanele Molefe,University of Cape Town,Law,1,40.0,21.0,2,5
NSFAS003082,Kagiso Mthethwa,North-West University,Education,2,45.54,20.0,2,2
NSFAS003083,Themba Mhlongo,University of the Free State,Education,2,75.0,95.0,0,4
NSFAS003084,Themba Zulu,University of KwaZulu-Natal,Commerce,1,40.0,46.0,4,2
NSFAS003085,Sipho Mthembu,University of Cape Town,Education,2,30.0,29.0,2,2
NSFAS003086,Tshepo Mokoena,North-West University,Commerce,4,62.5,56.0,3,5
NSFAS003087,Andile Mabaso,University of Pretoria,Science,4,79.57,75.0,1,3
NSFAS003088,Nomsa Ngcobo,University of Stellenbosch,Commerce,2,40.0,41.0,3,1
NSFAS003089,Zanele Ngcobo,University of the Witwatersrand,Engineering,2,74.53,87.0,1,4
NSFAS003090,Sipho Mkhize,University of Pretoria,Engineering,1,40.0,53.0,3,1
NSFAS003091,Mpho Mthethwa,University of Cape Town,Arts,1,40.0,54.0,1,5
NSFAS003092,Nokuthula Mokoena,North-West University,Law,4,50.8,67.0,0,4
NSFAS003093,Nomsa Khumalo,University of the Witwatersrand,Law,3,40.0,43.0,3,5
NSFAS003094,Lerato Zulu,University of Johannesburg,Engineering,3,40.0,41.0,2,3
NSFAS003095,Thabo Khumalo,University of Stellenbosch,Arts,2,70.91,87.0,1,3
NSFAS003096,Mpho Mokoena,University of Stellenbosch,Arts,1,75.0,94.0,0,1
NSFAS003097,Andile Zulu,University of Pretoria,Commerce,4,40.0,52.0,4,2
NSFAS003098,Zanele Mokoena,University of Johannesburg,Science,2,71.33,90.0,1,2
NSFAS003099,Lerato Khumalo,University of Cape Town,Law,4,39.88,28.0,4,3
NSFAS003100,Lerato Mokoena,University of Johannesburg,Education,4,62.7,,0,1
NSFAS003101,Sipho Zulu,University of Cape Town,Science,3,66.17,65.0,0,5
NSFAS003102,Andile Mhlongo,University of KwaZulu-Natal,Education,1,39.97,20.0,3,2
NSFAS003103,Nomsa Mhlongo,North-West University,Engineering,1,38.53,47.0,3,1
